Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.380270E-4,1.327861E+0
8.710000E-1,-3.381963E-4,1.327420E+0
1.742000E+0,-3.383873E-4,1.327735E+0
2.613000E+0,-3.386846E-4,1.326317E+0
3.484000E+0,-3.389537E-4,1.325802E+0
4.355000E+0,-3.050742E-4,1.325099E+0
5.227000E+0,1.183396E-3,1.322431E+0
6.098000E+0,2.068747E-2,1.321244E+0
7.015000E+0,3.925461E-2,1.322179E+0
7.885000E+0,5.777118E-2,1.324899E+0
8.756000E+0,7.624256E-2,1.328050E+0
9.626000E+0,9.468246E-2,1.332177E+0
1.049700E+1,1.131014E-1,1.336378E+0
1.136800E+1,1.765168E-1,1.354116E+0
1.230400E+1,2.066582E-1,1.360900E+0
1.317500E+1,2.317658E-1,1.368661E+0
1.404500E+1,2.568450E-1,1.374952E+0
1.491600E+1,2.818960E-1,1.382545E+0
1.578600E+1,3.069082E-1,1.390579E+0
1.665700E+1,3.319075E-1,1.397111E+0
1.752700E+1,3.568794E-1,1.405418E+0
1.839800E+1,3.818256E-1,1.414492E+0
1.926800E+1,4.067565E-1,1.421129E+0
2.013900E+1,4.316549E-1,1.428438E+0
2.101000E+1,4.565311E-1,1.436483E+0
2.188100E+1,4.813950E-1,1.443089E+0
2.275200E+1,5.062199E-1,1.453580E+0
2.362200E+1,5.310316E-1,1.472032E+0
2.449300E+1,5.558154E-1,1.516991E+0
2.536300E+1,5.805799E-1,1.630675E+0
2.623400E+1,6.053245E-1,1.894979E+0
2.710500E+1,6.300565E-1,2.406375E+0
2.797600E+1,6.547680E-1,3.049622E+0
2.884700E+1,6.794567E-1,3.597248E+0
2.971800E+1,7.041278E-1,3.952404E+0
3.058800E+1,7.287766E-1,4.169049E+0
3.145900E+1,7.534029E-1,4.324303E+0
3.233000E+1,7.779966E-1,4.467886E+0
3.320100E+1,8.025695E-1,4.592923E+0
3.407200E+1,8.271201E-1,4.701524E+0
3.494300E+1,8.516414E-1,4.795506E+0
3.581400E+1,8.761267E-1,4.864946E+0
3.668500E+1,9.005779E-1,4.893511E+0
3.755600E+1,9.250134E-1,4.935267E+0
3.842700E+1,9.494332E-1,4.997061E+0
3.929800E+1,9.738038E-1,5.059421E+0
4.016900E+1,9.981352E-1,5.115975E+0
4.104000E+1,1.022429E+0,5.170333E+0
4.191000E+1,1.046688E+0,5.217098E+0
