Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.456636E-4,NaN,-1.780000E-7,NaN
8.710000E-1,-3.458025E-4,NaN,-8.350000E-7,NaN
1.743000E+0,-3.459565E-4,NaN,-4.390000E-7,NaN
2.614000E+0,-3.453164E-4,NaN,-3.860000E-7,NaN
3.486000E+0,-3.456028E-4,NaN,-6.580000E-7,NaN
4.357000E+0,-3.456592E-4,NaN,-6.580000E-7,NaN
5.229000E+0,-3.457526E-4,NaN,-5.220000E-7,NaN
6.101000E+0,-3.453489E-4,NaN,-8.040000E-7,NaN
6.972000E+0,-3.456115E-4,NaN,-4.800000E-7,NaN
7.843000E+0,-3.456679E-4,NaN,-4.390000E-7,NaN
8.715000E+0,-3.460607E-4,NaN,-4.490000E-7,NaN
9.586000E+0,-3.457547E-4,NaN,-6.160000E-7,NaN
1.045800E+1,-3.457591E-4,NaN,-6.890000E-7,NaN
1.132900E+1,-3.456723E-4,NaN,-4.490000E-7,NaN
1.220000E+1,-3.460043E-4,NaN,-8.150000E-7,NaN
1.307200E+1,-3.460998E-4,NaN,-7.410000E-7,NaN
1.394300E+1,-3.458155E-4,NaN,-7.100000E-7,NaN
1.481500E+1,-3.458676E-4,NaN,-1.023000E-6,NaN
1.568600E+1,-3.458893E-4,NaN,-8.150000E-7,NaN
1.655700E+1,-3.458307E-4,NaN,-1.013000E-6,NaN
1.742900E+1,-3.459479E-4,NaN,-5.850000E-7,NaN
1.830000E+1,-3.461193E-4,NaN,-7.730000E-7,NaN
1.917200E+1,-3.459305E-4,NaN,-9.090000E-7,NaN
2.004300E+1,-3.460499E-4,NaN,-8.150000E-7,NaN
2.091400E+1,-3.459999E-4,NaN,-7.520000E-7,NaN
2.178500E+1,-3.458480E-4,NaN,-1.023000E-6,NaN
2.265600E+1,-3.459739E-4,NaN,-1.191000E-6,NaN
2.352800E+1,-3.035573E-4,NaN,-1.003000E-6,NaN
2.439900E+1,5.935054E-3,NaN,-1.871500E-5,NaN
2.527000E+1,2.556590E-2,NaN,-1.886100E-5,NaN
2.618800E+1,4.412612E-2,NaN,-1.870400E-5,NaN
2.705900E+1,6.264113E-2,NaN,-1.834900E-5,NaN
2.793100E+1,8.111124E-2,NaN,-1.851600E-5,NaN
2.880200E+1,9.955116E-2,NaN,-1.834900E-5,NaN
2.967300E+1,1.179620E-1,NaN,-1.841200E-5,NaN
3.054400E+1,1.831146E-1,NaN,-2.485600E-5,NaN
3.148100E+1,2.135056E-1,NaN,-2.500200E-5,NaN
