Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.544177E-4,6.585866E+0
9.530000E-1,-3.545740E-4,6.585961E+0
1.824000E+0,-3.543656E-4,6.586055E+0
2.694000E+0,-3.543353E-4,6.586244E+0
3.565000E+0,-3.544937E-4,6.586192E+0
4.436000E+0,-3.546087E-4,6.586307E+0
5.306000E+0,-3.546434E-4,6.586055E+0
6.177000E+0,-3.542246E-4,6.585961E+0
7.047000E+0,-3.446002E-4,6.586412E+0
7.919000E+0,-3.054865E-4,6.586213E+0
8.790000E+0,1.497044E-2,6.586129E+0
9.807000E+0,3.370074E-2,6.586297E+0
1.067800E+1,5.238619E-2,6.586507E+0
1.154800E+1,7.102877E-2,6.586717E+0
1.241900E+1,8.962913E-2,6.586633E+0
1.329000E+1,1.081982E-1,6.586517E+0
1.416000E+1,1.709881E-1,6.586780E+0
1.509600E+1,2.017517E-1,6.586570E+0
1.596600E+1,2.272293E-1,6.587116E+0
1.683700E+1,2.526749E-1,6.587147E+0
1.770700E+1,2.780860E-1,6.587179E+0
1.857800E+1,3.034649E-1,6.587126E+0
1.944800E+1,3.288057E-1,6.587599E+0
2.031900E+1,3.541150E-1,6.587441E+0
2.119000E+1,3.793968E-1,6.587462E+0
2.206000E+1,4.046491E-1,6.587252E+0
2.293100E+1,4.298640E-1,6.587368E+0
2.380200E+1,4.550404E-1,6.587588E+0
2.467300E+1,4.801692E-1,6.587767E+0
2.554400E+1,5.052615E-1,6.587609E+0
2.641500E+1,5.303179E-1,6.587683E+0
2.728600E+1,5.553217E-1,6.587977E+0
2.815700E+1,5.802863E-1,6.587735E+0
2.902800E+1,6.051986E-1,6.587830E+0
2.989900E+1,6.300546E-1,6.588261E+0
3.077000E+1,6.548635E-1,6.588093E+0
3.164000E+1,6.796164E-1,6.587914E+0
3.251100E+1,7.043122E-1,6.588219E+0
3.338200E+1,7.289485E-1,6.588408E+0
3.425200E+1,7.535131E-1,6.588156E+0
3.512300E+1,7.780120E-1,6.588376E+0
3.599400E+1,8.024166E-1,6.588198E+0
3.686400E+1,8.267796E-1,6.588502E+0
3.773500E+1,8.510851E-1,6.588376E+0
3.860500E+1,8.753061E-1,6.588460E+0
3.947600E+1,8.994422E-1,6.588471E+0
4.034600E+1,9.234988E-1,6.588576E+0
4.121700E+1,9.474458E-1,6.588555E+0
4.208800E+1,9.705201E-1,6.588523E+0
4.295900E+1,9.942819E-1,6.588618E+0
4.383000E+1,1.017976E+0,6.588870E+0
4.470000E+1,1.041556E+0,6.588607E+0
4.557100E+1,1.065052E+0,6.588649E+0
4.644100E+1,1.088454E+0,6.588796E+0
4.731200E+1,1.111745E+0,6.588901E+0
4.818200E+1,1.134937E+0,6.588954E+0
