filename,voltage,resistance,max_dR_dV,index-max_index
320.csv,1.387785,2.686778,23.95047070434584,2
325.csv,1.312224,2.628523,12.519130693169876,2
335.csv,1.17126,2.716456,13.979016824789827,29
345.csv,1.002762,2.648288,16.302416474696408,24
355.csv,0.819144,2.761689,19.030612425217925,55
360.csv,0.7305258,2.890915,20.6055145705792,37
363.csv,0.6688949,2.875803,21.824319565657675,44
367.csv,0.5642132,2.665049,22.82650468840082,73
370.csv,0.5109687,3.289602,23.752991153063206,28
371.csv,0.448819,3.126906,24.467218252209985,60
373.csv,0.4144565,2.846093,25.734738372681328,33
38.csv,-0.0003466076,4.012286,11193627.145105895,104
